[0724/085145.214:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0724/092521.065:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092526.081:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092531.105:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092536.116:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092541.145:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092546.180:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092551.205:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092556.234:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092601.253:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092606.261:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092611.288:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092616.307:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092621.329:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/092626.346:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0724/130359.769:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
